TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-01,2026-07-01,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14050.0,14050.0,13950.0,13981.89,13998.99,14069.99,,13984.51,,,99,1383699.79,27,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14039.0,14040.0,13967.0,14013.12,14015.0,14047.77,,14013.51,,,165,2310138.23,52,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14053.0,14053.0,13915.0,14002.78,14023.0,14054.14,,14003.74,,,812,11364778.19,183,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14140.0,14140.0,13960.0,14010.81,13995.0,14096.51,,14005.31,,,95,1329928.86,48,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14061.0,14129.0,13961.0,14034.32,14030.0,14138.0,,14034.32,,,247,3468028.55,76,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14079.0,14125.0,13971.0,14096.62,14123.98,14079.73,,14106.09,,,344,4832285.18,107,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14195.0,14195.0,14001.0,14041.83,14045.0,14091.74,,14036.62,,,241,3382153.68,83,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14000.0,14000.0,14000.0,14000.0,14000.0,13901.0,,14000.0,,,6,84000.0,4,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,14058.0,14058.0,14058.0,14058.0,14058.0,14067.2,,14043.0,,,2,28116.0,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,13975.0,14040.0,13949.15,14040.0,14040.0,14000.0,,13965.0,,,49,684381.52,13,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,13931.0,13975.0,13911.41,13975.0,13975.0,13938.5,,13975.0,,,30,418322.88,13,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14005.0,14090.0,13991.0,14029.88,14070.0,14076.52,,13987.23,,,66,924963.4,19,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14031.0,14031.0,13940.02,14019.0,14019.0,14030.0,,14019.0,,,141,1970670.18,25,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14100.0,14139.0,14041.0,14139.0,14139.0,14041.0,,14090.0,,,10,140980.0,4,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,14049.0,14049.0,13920.01,14022.85,14024.0,14001.0,,14022.85,,,36,503949.03,11,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,14969.0,14969.0,13921.0,14025.0,14025.0,13980.0,,14025.0,,,38,533176.06,13,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,13940.0,14040.0,13940.0,13999.0,14000.0,13999.98,,13999.17,,,46,643537.01,9,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14050.0,14129.0,13950.0,13950.0,13950.0,14016.0,,13950.0,,,69,965412.0,21,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14080.0,14080.0,13950.0,14019.02,14045.0,14119.66,,14014.6,,,238,3330629.44,63,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,14016.0,14037.96,13954.0,13996.86,14000.5,14015.14,,13997.37,,,148,2070150.08,48,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14059.0,14060.0,14000.03,14029.23,14060.0,14060.0,,14029.55,,,385,5396719.89,37,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,14082.28,14082.28,14003.0,14031.21,14023.0,14082.28,,14056.81,,,911,12777886.65,137,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,14049.0,14049.0,13971.6,14031.4,14040.0,14067.35,,14031.4,,,61,854896.65,30,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,13995.0,14045.95,13935.0,14019.79,14019.0,14036.11,,14019.79,,,218,3046227.78,54,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,14080.0,14080.0,14050.0,14050.0,14050.0,14100.0,,14050.0,,,3,42210.0,3,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,13820.0,14124.0,13820.0,13950.0,13950.0,14072.01,,13900.0,,,4,55993.0,4,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,14001.0,14099.99,14001.0,14085.52,14099.0,14174.24,,14085.32,,,345,4847857.44,53,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,14051.0,14061.13,14005.0,14048.4,14031.0,14102.75,,14049.38,,,249,3496485.73,64,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,14076.75,14168.99,14012.06,14093.75,14080.0,14076.75,,14097.72,,,109,1535230.17,38,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,14086.0,14090.01,14014.0,14090.01,14090.01,14115.0,,14071.14,,,370,5194494.45,54,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,14051.0,14079.0,14012.02,14013.11,14013.0,14130.0,,14013.11,,,196,2752591.6,46,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,14098.99,14099.99,14002.0,14062.42,14070.0,14121.77,,14062.42,,,161,2263202.05,21,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,14049.0,14049.0,13952.01,14018.98,14025.0,14070.04,,14010.27,,,89,1247634.26,39,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,14202.0,14299.0,14202.0,14273.0,14273.01,14294.52,,14273.0,,,110,1566631.5,28,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,14312.73,14399.99,14150.02,14240.08,14150.02,14312.73,,14249.34,,,91,1296112.82,51,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,14310.99,14342.3,14200.03,14278.55,14340.0,14310.99,,14278.2,,,291,4152572.39,71,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,14203.01,14203.01,14105.03,14138.79,14120.0,14283.0,,14138.79,,,202,2856454.54,73,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,8401,IN0020210319,SGBMAR30X,GB,,,,,2.50%GOLDBONDS2030SR-X,14189.0,14277.0,14068.0,14259.7,14264.0,14199.35,,14259.7,,,65,920882.2,30,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,17202,IN0020230069,SGBJUN31I,GB,,,,,2.50%GOLDBONDS2031SR-I,14498.9,14520.0,14450.0,14472.33,14455.0,14529.18,,14473.3,,,2377,34451736.48,182,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,14503.2,14572.0,14444.0,14450.98,14498.95,14582.28,,14448.12,,,1707,24765274.22,262,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,22476,IN0020230168,SGBDE31III,GB,,,,,2.50%GOLDBONDS2031SR-III,14569.9,14597.69,14416.0,14473.36,14487.0,14571.64,,14474.37,,,2095,30381650.18,466,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,14598,IN0020220169,SGBMAR31IV,GB,,,,,2.50%GOLDBONDS2031SR-IV,14500.0,14500.0,14359.0,14420.39,14411.05,14508.26,,14420.39,,,93,1344467.14,44,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,22886,IN0020230184,SGBFEB32IV,GB,,,,,2.50%GOLDBONDS2032SR-IV,14700.0,14800.01,14576.01,14693.87,14680.01,14739.55,,14682.58,,,1602,23587813.29,305,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,203.94,204.8,198.01,199.35,200.8,201.41,,199.33,,,141123,28456322.09,2987,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,32.39,33.03,32.11,32.27,32.27,32.39,,32.27,,,358,11773.99,10,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1074.5,1084.9,1061.7,1065.9,1069.2,1074.6,,1065.9,,,1496165,1599999751.3,52825,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,30105,INF579M01BB5,GOLD360,EQ,,,,,360ONEAMC - GOLD360,136.5,137.0,135.2,136.4,136.55,137.2,,136.4,,,22906,3106097.3,350,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,763602,INF579M01BP5,MSCI360,EQ,,,,,360ONEAMC - MSCI360,10.04,10.08,9.98,10.08,10.08,9.97,,10.06,,,741,7464.9,12,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,756150,INF579M01BC3,SILVER360,EQ,,,,,360ONEAMC - SILVER360,216.5,218.56,215.75,217.73,218.4,218.56,,217.7,,,13497,2927892.87,518,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,762518,INE994E01018,3BBLACKBIO,EQ,,,,,3B BLACKBIO DX LTD.,1170.0,1216.9,1167.2,1201.1,1189.7,1168.8,,1201.0,,,5577,6638824.0,691,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,6232,INE748C01038,3IINFOLTD,EQ,,,,,3I INFOTECH LIMITED,17.2,17.38,17.13,17.17,17.23,17.17,,17.17,,,116890,2009409.19,914,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,474,INE470A01017,3MINDIA,EQ,,,,,3M INDIA LIMITED,33100.0,33710.0,33040.0,33435.0,33410.0,32900.0,,33435.0,,,4012,133784320.0,2314,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,2595,INE105C01023,3PLAND,EQ,,,,,3P LAND HOLDINGS LIMITED,32.0,32.5,31.0,31.97,32.0,31.56,,32.36,,,4953,156695.05,113,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,445,INE618L01018,5PAISA,EQ,,,,,5PAISA CAPITAL LIMITED,353.45,378.9,353.45,363.45,360.75,355.95,,363.45,,,156474,57921638.25,5937,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,11868,INE111B01023,63MOONS,EQ,,,,,63 MOONS TECHNOLOGIES LTD,653.6,677.65,653.6,664.7,667.9,654.75,,664.65,,,90539,60442713.75,3853,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,29323,INE053F07579,734IRFC28,N4,,,,,7.34 NCD 19FEB28 TR1 SR2,1078.1,1078.1,1078.0,1078.0,1078.0,1080.0,,1078.0,,,10,10780.5,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19974,INE134E07349,736PFCL28,N2,,,,,7.36% TAX FREE NCD,1059.1,1059.1,1059.1,1059.1,1059.1,1062.0,,1059.1,,,6,6354.6,3,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,29312,INE031A07865,751HUDCO28,N5,,,,,7.51 NCD 16FEB28 TR1 SR2,1056.0,1056.0,1055.35,1056.0,1056.0,1055.13,,1056.0,,,105,110815.0,3,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,20034,INE261F07032,764NABAR31,N2,,,,,7.64% TAX FREE TRI SRIIB,1098.0,1106.0,1097.99,1106.0,1106.0,1097.98,,1099.04,,,126,138355.09,8,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19928,INE031A07AO5,764HUDCO31,N8,,,,,7.64% TAX FREETRI SR2B,1105.0,1105.0,1105.0,1105.0,1105.0,1102.6,,1105.0,,,1,1105.0,1,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19930,INE031A07AT4,769HUDCO31,N9,,,,,7.69% TAX FREETRII SR2B,1121.0,1121.5,1121.0,1121.5,1121.5,1121.0,,1121.05,,,160,179362.5,3,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,20030,INE202E07229,774IREDA31,N7,,,,,7.74% TAX FREE NCD,1118.0,1122.0,1118.0,1122.0,1122.0,1118.0,,1122.0,,,300,335484.0,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19924,INE020B07GH7,812REC27,NI,,,,,8.12/8.32% TAX FREE NCD,1018.0,1020.0,1018.0,1018.0,1018.0,1018.0,,1018.33,,,1315,1339880.5,20,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,31240,INE031A07840,82HUDCO27,N2,,,,,8.20 NCD05MAR27 FV 1000,1038.0,1040.4,1038.0,1039.7,1039.7,1037.45,,1039.6,,,4785,4973192.95,24,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,20022,INE134E07208,830PFCL27,N5,,,,,8.30% TAX FREE NCD,1070.3,1070.3,1070.02,1070.13,1070.02,1074.0,,1070.13,,,28,29963.69,4,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,192,INE906B07DF8,875NHAI29,N6,,,,,8.75% TAX FREE TR I S IIB,1104.0,1106.89,1104.0,1106.89,1106.89,1102.99,,1106.94,,,101,111793.0,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19968,INE031A07949,876HUDCO28,ND,,,,,8.76% TAX FREETRI SR2B,1125.0,1126.9,1125.0,1126.9,1126.9,1125.4,,1126.9,,,330,371440.0,4,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,20058,INE787H07370,891IIFCL34,N4,,,,,8.91% TAX FREE NCD,1252.0,1254.0,1252.0,1253.6,1254.0,1249.0,,1253.6,,,500,626800.0,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,31768,INE733E07JJ9,891NTPC33,N6,,,,,8.91%S-R-NCD SERIES 3B,1280.0,1280.0,1266.0,1275.62,1274.99,1276.0,,1275.62,,,1070,1357567.24,35,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,31487,INE848E07567,892NHPC33,N6,,,,,8.92% SEC RED BOND S3B,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,,1240.0,,,11,13640.0,2,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,20028,INE134E07463,892PFCL33,N8,,,,,8.92% TAX FREE NCD,1274.5,1275.0,1266.11,1267.05,1268.0,1274.5,,1267.05,,,439,559396.71,11,F1,1,,,,,
2026-07-01,2026-07-01,CM,NSE,STK,19970,INE031A07AB2,901HUDCO34,NE,,,,,9.01% TAX FREETRII SR3B,1266.0,1281.0,1265.01,1281.0,1281.0,1271.87,,1273.5,,,211,269519.06,11,F1,1,,,,,
