TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-30,2026-06-30,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14000.0,14098.9,13921.04,14069.99,14069.99,14150.0,,14069.99,,,134,1880531.77,24,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14398.0,14398.0,13920.0,14047.77,14075.0,14140.27,,14044.09,,,133,1865027.74,55,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,13800.89,14100.0,13800.89,14054.14,14065.0,14154.76,,14052.7,,,1303,18245504.8,241,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14000.0,14140.0,13925.0,14096.51,14140.0,14142.2,,14096.51,,,182,2549055.66,69,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,13954.0,14138.0,13953.0,14138.0,14138.0,14255.05,,14129.0,,,69,970759.64,27,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14000.0,14145.0,13990.0,14079.73,14080.0,14158.26,,14078.27,,,203,2856167.25,56,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,13999.0,14100.99,13915.02,14091.74,14100.99,14154.99,,14105.91,,,138,1936102.3,59,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,14100.0,14100.0,14100.0,14100.0,14100.0,14126.21,,14100.0,,,6,84600.0,1,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14000.0,14350.0,13901.0,13901.0,13901.0,14357.14,,13901.0,,,17,237459.0,13,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,14025.0,14100.0,14025.0,14067.2,14058.0,14030.0,,14067.2,,,65,914705.0,7,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14000.0,14000.0,13903.0,14000.0,14000.0,14103.33,,14000.0,,,21,293086.0,5,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,13901.0,14000.0,13901.0,13938.5,14000.0,14195.0,,13938.5,,,8,111508.0,5,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14096.2,14096.2,13911.0,14076.52,14085.0,14196.2,,14079.31,,,108,1516145.73,37,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,13925.0,14060.0,13925.0,14030.0,14030.0,14199.99,,14030.0,,,118,1648904.7,18,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14000.0,14100.03,14000.0,14041.0,14041.0,14014.49,,14041.0,,,74,1041908.12,13,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,13900.0,14099.0,13900.0,14001.0,14099.0,14149.9,,14001.0,,,49,684078.07,13,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,14174.0,14174.0,13980.0,13980.0,13980.0,14175.0,,13980.0,,,4,56428.0,4,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,13999.97,13999.98,13999.97,13999.98,13999.98,14149.0,,13999.99,,,2,27999.95,2,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,13851.01,14069.99,13801.0,14016.0,14016.0,14149.0,,14016.0,,,108,1505825.05,12,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14000.0,14120.64,13862.0,14119.66,14120.0,14162.77,,14110.5,,,184,2574999.76,46,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,13950.0,14073.99,13950.0,14015.14,14015.14,14164.99,,14033.55,,,561,7840025.91,64,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14090.0,14100.0,13950.01,14060.0,14060.0,14165.7,,14056.61,,,335,4710548.37,36,F1,1,,,,,
